FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	5704	5952	4978	7394	6579	5265	4978	4082	6028	6195	5841	5008	7830	9116	8471	9761	8541	5798	5818	8167	5481	5445	6158	6216
Fo	2640.14	2779.48	2537.68	2822.99	3365.01	3201.83	2352.80	1907.00	1962.56	2209.31	2196.38	2564.58	2401.70	2588.40	2644.72	3187.00	3404.35	3135.83	2539.36	2915.55	2770.04	2565.34	2986.53	2863.64
Fm	7549.32	8070.13	7099.24	7386.38	8357.32	7221.87	7403.36	5704.87	5930.84	6277.23	5409.64	6203.66	7403.70	7658.27	7795.61	9006.12	8721.49	7161.97	7495.87	7757.62	7685.51	6584.22	7239.04	6096.34
Fv	4909.18	5290.65	4561.56	4563.39	4992.31	4020.04	5050.56	3797.87	3968.28	4067.92	3213.26	3639.08	5002.00	5069.87	5150.89	5819.12	5317.14	4026.15	4956.51	4842.07	4915.47	4018.87	4252.51	3232.70
Fm_Lss1	7509.48	7987.40	7027.22	7299.00	7969.56	7432.01	7249.47	5561.88	5748.02	5974.87	4730.38	6326.13	7232.95	7446.98	7607.13	8599.92	7866.33	7325.02	7492.54	7723.55	7593.71	6506.46	6902.64	6246.34
Fm_Lss2	7299.40	7769.40	6735.78	6970.63	7174.80	7389.38	7044.07	5327.32	5509.90	5513.98	3776.21	6283.00	6918.36	7044.97	7287.20	8040.41	6375.66	7278.17	7383.64	7511.20	7360.59	6263.44	6252.13	6206.44
Fm_Lss3	7179.47	7653.20	6533.20	6784.13	6490.40	7307.65	6916.62	5203.36	5306.29	5106.98	3263.06	6142.86	6785.28	6788.80	7025.63	7703.77	5508.83	7158.49	7324.49	7406.94	7308.45	6176.87	5619.81	6114.59
Fm_Lss4	7017.10	7468.16	6261.87	6594.82	5717.11	7201.79	6636.31	5062.65	5016.87	4731.16	2973.85	5963.70	6639.67	6493.97	6637.70	7321.31	5054.95	6910.28	7240.17	7214.62	7209.02	5988.62	5000.17	5986.34
Fm_Lss5	6713.08	7041.59	5787.81	6276.52	4983.93	7055.01	6306.04	4847.76	4624.24	4284.88	2821.25	5711.73	6388.46	6095.07	6175.86	6836.64	4844.45	6671.60	7082.42	6842.60	6833.86	5658.05	4443.91	5854.77
Fm_Lss6	6255.46	6420.43	5206.71	5809.20	4375.56	6827.39	5980.58	4655.14	4280.09	3866.00	2738.18	5415.92	6040.12	5683.37	5708.58	6240.62	4746.31	6316.57	6725.24	6279.17	6277.34	5211.40	3999.32	5642.54
Fm_Lss7	5770.96	5767.75	4652.48	5210.99	3924.36	6589.61	5684.74	4486.59	3964.81	3502.93	2718.92	5105.18	5695.45	5281.79	5321.87	5678.46	4681.46	5980.84	6315.46	5654.76	5613.71	4724.66	3644.67	5461.49
Fm_Lss8	5244.81	5147.93	4194.67	4665.00	3579.66	6324.68	5401.91	4274.59	3717.78	3194.25	2721.69	4808.02	5361.08	4896.62	4931.96	5106.01	4649.67	5653.89	5900.06	5061.28	4974.33	4246.44	3386.84	5235.95
Fm_Lss9	4756.35	4617.21	3785.08	4173.33	3366.84	6049.26	5135.59	4082.16	3489.66	2925.61	2741.87	4530.57	5055.11	4575.00	4618.22	4629.58	4655.92	5290.14	5488.19	4538.62	4427.64	3794.91	3204.39	5001.78
Fm_Lss10	4327.78	4202.43	3441.33	3789.55	3195.92	5754.20	4877.19	3877.58	3273.32	2719.12	2780.76	4234.80	4758.73	4293.58	4291.39	4202.92	4653.84	4977.07	5080.18	4107.37	3973.01	3455.16	3076.65	4782.88
Fm_Lss11	3948.30	3821.97	3150.84	3456.59	3073.73	5496.13	4599.06	3707.76	3075.23	2542.76	2804.52	3974.60	4492.42	4041.44	4006.01	3888.97	4667.38	4665.23	4708.25	3741.44	3595.53	3138.69	3008.32	4573.96
Fm_Lss12	3637.17	3535.29	2921.39	3207.51	2972.01	5236.23	4368.16	3543.32	2896.90	2393.58	2832.87	3767.05	4246.69	3837.22	3766.47	3619.04	4703.88	4407.44	4379.62	3441.21	3290.33	2896.81	2977.50	4383.97
Fm_Lss13	3363.33	3313.53	2754.65	2998.05	2943.07	4998.59	4116.96	3360.29	2739.51	2277.35	2867.39	3551.93	4003.80	3629.54	3548.81	3417.78	4685.77	4141.60	4081.67	3173.93	3047.65	2706.52	2972.08	4379.40
Fm_Lss14	3139.88	3114.22	2619.29	2819.98	2919.59	4737.65	3893.71	3191.23	2594.33	2190.17	2853.06	3370.55	3774.10	3471.79	3347.30	3273.74	4681.60	3942.70	3805.42	2978.05	2835.37	2530.03	2993.31	4149.27
Fm_Lss15	2941.96	2962.46	2477.00	2675.32	2953.45	4531.47	3678.00	3014.77	2444.79	2128.47	2869.43	3220.17	3589.04	3309.75	3167.63	3139.97	4639.45	3757.16	3579.98	2787.39	2666.92	2401.04	3044.57	3996.00
Ft_Lss1	2991.98	3190.17	2970.60	3380.29	4372.82	5261.74	2668.45	2149.98	2229.48	2467.65	2527.13	3851.05	2723.38	2950.70	2964.61	3546.79	4312.29	4738.38	3011.18	3492.30	3212.50	3103.34	4024.41	4740.94
Ft_Lss2	3202.73	3440.51	3222.75	3743.21	4792.32	6508.12	2965.20	2393.00	2468.64	2650.26	2502.44	5224.09	2922.14	3192.95	3182.32	3738.59	4420.49	6206.42	3507.96	3920.05	3483.67	3420.85	4428.65	5645.76
Ft_Lss3	3434.02	3698.07	3370.53	3841.73	4646.26	6838.25	3403.60	2655.27	2706.56	2704.54	2426.16	5582.22	3165.09	3404.58	3386.16	3845.56	4245.29	6580.80	4025.68	4188.94	3687.17	3523.91	4288.20	5813.54
Ft_Lss4	3646.95	3916.14	3463.98	3870.91	4318.80	6918.94	3728.28	2863.07	2838.58	2684.86	2373.20	5625.32	3381.40	3532.51	3491.04	3868.19	4151.12	6610.79	4422.42	4326.81	3844.01	3555.30	4015.20	5813.26
Ft_Lss5	3772.40	4021.05	3437.50	3853.33	3954.45	6839.25	3878.59	3001.77	2846.74	2598.59	2358.30	5505.90	3506.72	3560.57	3492.50	3818.58	4152.51	6466.86	4650.02	4328.14	3880.56	3510.23	3727.15	5722.66
Ft_Lss6	3762.32	3946.00	3290.75	3749.66	3628.44	6716.50	3939.63	3078.05	2797.48	2490.04	2387.46	5298.91	3551.10	3520.00	3450.85	3702.54	4198.32	6224.10	4728.34	4177.56	3796.44	3380.90	3465.49	5565.51
Ft_Lss7	3673.62	3776.72	3113.25	3543.00	3358.18	6524.71	3949.95	3115.06	2733.26	2366.40	2445.41	5027.69	3534.29	3441.72	3395.34	3563.33	4260.11	5912.74	4662.45	3941.89	3609.48	3215.48	3258.27	5389.15
Ft_Lss8	3516.84	3559.43	2941.50	3322.81	3155.55	6286.87	3926.90	3125.13	2671.96	2262.22	2504.03	4762.01	3483.20	3351.62	3299.27	3397.83	4321.61	5582.16	4503.38	3657.98	3382.19	3016.44	3081.85	5191.78
