FluorCam7 Numeric Avg Export File																								
-----------------------------------																								
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	5907	6132	4674	6799	6003	4704	4652	3802	5749	5374	4840	4143	7636	8607	7873	8727	7297	4870	5763	8104	5333	4949	5577	5312
Fo	2613.91	2769.15	2610.42	2705.11	4055.65	4052.88	2344.59	1932.18	1893.65	2197.56	2682.63	3376.13	2343.68	2499.16	2601.86	3175.2	4124.67	4034.31	2533.86	2842.62	2866.48	2461.83	3581.08	3646.35
Fm	6580.25	7031.14	6303.09	5709.78	6540.38	4760	6125.09	4918.88	4562.35	4503.92	3882.73	3749.05	5948.34	5972.45	6165.07	6639.76	6064.09	4455.05	6718.87	6779.06	7147.03	4962.51	5590.78	4210.08
Fv	3966.33	4261.99	3692.67	3004.68	2484.73	707.12	3780.5	2986.7	2668.71	2306.36	1200.11	372.92	3604.66	3473.29	3563.21	3464.56	1939.42	420.74	4185.01	3936.44	4280.56	2500.68	2009.7	563.74
Fm_Lss1	6548.73	6988.76	6230.32	5503.61	6545.89	4751.98	5964.42	4805.8	4334.83	4231.03	3878.06	3770.55	5741.18	5694.99	5869.55	6202.2	6041.48	4467.29	6675.26	6662.85	7064.18	4710.8	5589.54	4217.43
Ft_Lss1	2766.83	2936.38	2775.16	2927.1	4596.69	4192.05	2489.06	2053.73	2003.56	2351.57	2901.13	3450.6	2461.8	2621.7	2715.65	3427.91	4449.84	4123.71	2738.21	3067.3	3060.99	2725.28	4152.86	3770.93
Fo_Lss1	2608.93	2762.55	2597.86	2657.93	4057.77	4047.06	2320.66	1914.48	1853.27	2130.52	2680.4	3393.55	2310.83	2449.23	2547.73	3071.57	4114.2	4044.35	2527.63	2821.98	2853.06	2398.26	3580.57	3651.86
Fv_Lss1	3939.81	4226.21	3632.46	2845.67	2488.12	704.91	3643.76	2891.32	2481.56	2100.51	1197.67	377	3430.36	3245.76	3321.82	3130.63	1927.28	422.95	4147.63	3840.86	4211.12	2312.54	2008.97	565.57
Fq_Lss1	3781.9	4052.39	3455.16	2576.51	1949.2	559.93	3475.37	2752.07	2331.27	1879.46	976.93	319.94	3279.39	3073.29	3153.9	2774.3	1591.64	343.59	3937.05	3595.55	4003.19	1985.52	1436.69	446.5
QY_max	0.6	0.61	0.59	0.53	0.38	0.15	0.62	0.61	0.58	0.51	0.31	0.1	0.61	0.58	0.58	0.52	0.32	0.09	0.62	0.58	0.6	0.5	0.36	0.13
Fv/Fm_Lss1	0.6	0.6	0.58	0.52	0.38	0.15	0.61	0.6	0.57	0.5	0.31	0.1	0.6	0.57	0.57	0.5	0.32	0.09	0.62	0.58	0.6	0.49	0.36	0.13
QY_Lss1	0.58	0.58	0.55	0.47	0.3	0.12	0.58	0.57	0.54	0.44	0.25	0.08	0.57	0.54	0.54	0.45	0.26	0.08	0.59	0.54	0.57	0.42	0.26	0.11
NPQ_Lss1	0	0.01	0.01	0.04	0	0	0.03	0.02	0.05	0.06	0	-0.01	0.04	0.05	0.05	0.07	0	0	0.01	0.02	0.01	0.05	0	0
qN_Lss1	0.01	0.01	0.02	0.07	0	0.01	0.04	0.04	0.08	0.11	0	-0.06	0.06	0.08	0.08	0.12	0.01	-0.03	0.01	0.03	0.02	0.1	0	-0.01
qP_Lss1	0.96	0.96	0.95	0.91	0.78	0.79	0.95	0.95	0.94	0.89	0.82	0.85	0.96	0.95	0.95	0.89	0.83	0.81	0.95	0.94	0.95	0.86	0.72	0.79
qL_Lss1	1.02	1.02	1.02	1	0.89	0.82	1.02	1.02	1.02	0.99	0.88	0.86	1.02	1.01	1.01	0.99	0.89	0.83	1.03	1.02	1.02	0.98	0.83	0.82
PAR1	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9	10.9
ETR1	2.5186	2.5288	2.4186	2.0417	1.2987	0.5139	2.5412	2.4975	2.3454	1.9373	1.0986	0.3701	2.4911	2.3535	2.3434	1.9508	1.149	0.3354	2.5722	2.3535	2.4714	1.8382	1.121	0.4617
