FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20	Area 21	Area 22	Area 23	Area 24
Size [pixels]	4662	5426	4943	3073	4138	3279	5083	5884	5579	3647	2845	1963	3368	2885	3285	2420	2974	1210	4787	3038	5199	4389	4299	4260
Fo	1759.78	2125.98	2131.99	1770.30	2143.13	2137.64	1755.53	2245.21	2583.00	1823.14	2190.23	2173.62	1582.19	1869.23	2123.88	1936.95	2346.56	2130.34	1873.40	1974.47	2051.43	2008.04	2403.49	2802.53
Fm	4742.57	5631.16	5522.28	3660.07	3874.65	2874.90	4897.75	6329.87	6870.88	4144.94	3604.89	2981.24	4208.87	4807.88	5215.76	3615.81	4129.13	3143.54	5196.78	5229.53	5365.21	4445.76	4554.69	3940.62
Fv	2982.80	3505.18	3390.29	1889.77	1731.52	737.25	3142.23	4084.66	4287.87	2321.80	1414.65	807.62	2626.68	2938.65	3091.89	1678.86	1782.57	1013.20	3323.38	3255.07	3313.78	2437.71	2151.19	1138.08
Fm_Lss1	4696.97	5535.49	5371.81	3505.39	3840.84	2861.77	4870.94	6302.17	6817.42	3918.55	3586.39	3037.50	4209.63	4796.86	5096.67	3368.42	4154.89	3111.40	5165.52	5240.08	5275.10	4200.74	4531.66	3961.73
Ft_Lss1	1882.33	2264.23	2286.85	1909.39	2452.40	2270.01	1911.72	2414.11	2805.42	2008.00	2640.92	2394.71	1701.36	2003.74	2234.13	2097.11	2653.18	2354.78	1993.98	2113.08	2201.44	2140.18	2746.49	3129.74
Fo_Lss1	1753.46	2112.20	2109.18	1733.30	2132.75	2130.38	1752.07	2241.71	2575.41	1777.96	2183.39	2203.38	1582.30	1867.56	2103.86	1863.63	2354.86	2115.53	1869.32	1975.97	2038.12	1956.50	2397.07	2813.19
Fv_Lss1	2943.51	3423.29	3262.63	1772.09	1708.10	731.39	3118.87	4060.46	4242.01	2140.59	1403.00	834.12	2627.33	2929.29	2992.81	1504.79	1800.03	995.87	3296.20	3264.11	3236.98	2244.24	2134.60	1148.53
Fq_Lss1	2814.64	3271.25	3084.96	1596.01	1388.44	591.76	2959.22	3888.06	4012.00	1910.54	945.47	642.79	2508.28	2793.11	2862.54	1271.32	1501.71	756.62	3171.54	3127.00	3073.65	2060.55	1785.17	831.98
QY_max	0.63	0.62	0.61	0.52	0.45	0.26	0.64	0.65	0.62	0.56	0.39	0.27	0.62	0.61	0.59	0.46	0.43	0.32	0.64	0.62	0.62	0.55	0.47	0.29
Fv/Fm_Lss1	0.63	0.62	0.61	0.51	0.44	0.26	0.64	0.64	0.62	0.55	0.39	0.27	0.62	0.61	0.59	0.45	0.43	0.32	0.64	0.62	0.61	0.53	0.47	0.29
QY_Lss1	0.60	0.59	0.57	0.46	0.36	0.21	0.61	0.62	0.59	0.49	0.26	0.21	0.60	0.58	0.56	0.38	0.36	0.24	0.61	0.60	0.58	0.49	0.39	0.21
NPQ_Lss1	0.01	0.02	0.03	0.04	0.01	0.00	0.01	0.00	0.01	0.06	0.01	-0.02	-0.00	0.00	0.02	0.07	-0.01	0.01	0.01	-0.00	0.02	0.06	0.01	-0.01
qN_Lss1	0.02	0.03	0.04	0.08	0.02	0.02	0.01	0.01	0.01	0.10	0.01	-0.07	-0.00	0.00	0.04	0.14	-0.01	0.03	0.01	-0.00	0.03	0.10	0.01	-0.02
qP_Lss1	0.96	0.96	0.95	0.90	0.81	0.81	0.95	0.96	0.95	0.89	0.67	0.77	0.95	0.95	0.96	0.84	0.83	0.76	0.96	0.96	0.95	0.92	0.84	0.72
qL_Lss1	1.03	1.02	1.03	0.99	0.93	0.86	1.04	1.03	1.03	1.01	0.82	0.84	1.03	1.02	1.02	0.95	0.94	0.85	1.03	1.02	1.03	1.00	0.96	0.81
PAR1	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90	10.90
ETR1	2.6134	2.5773	2.5046	1.9857	1.5765	0.9018	2.6495	2.6906	2.5665	2.1264	1.1497	0.9229	2.5986	2.5394	2.4495	1.6460	1.5763	1.0605	2.6777	2.6025	2.5412	2.1393	1.7180	0.9159
