SampleID,Max,Slope,Inflection point,ED50
BH 1,112.1539841,58.00188596,35.01288524,35.9796985
BH 10,114.6378092,77.65075131,34.74547792,35.48364083
BH 11,95.93649251,84.66399651,35.38000522,35.94657718
BH 12,121.2705149,64.31531855,34.68782953,35.63061048
BH 13,115.7367634,67.6476329,35.2739813,36.12941968
BH 14,112.3414235,40.69076547,34.52207514,35.90250411
BH 15,104.7839872,57.87193301,35.13671322,36.04202242
BH 16,93.8206656,19.83953268,107.6887208,110.0532086
BH 2,133.6048604,61.51778179,34.20893509,35.2948395
BH 3,110.3202442,69.61577229,34.83408719,35.62643812
BH 4,116.7087622,50.28332829,34.44396013,35.60447164
BH 5,126.0385819,81.18441108,35.22461348,36.00086215
BH 6,111.762736,85.03067982,35.28909997,35.94629062
BH 7,115.0438813,42.20230602,34.68585216,36.04885684
BH 8,118.4115693,60.39251288,35.21701298,36.19736272
BH 9,110.746853,85.8907793,35.37977661,36.02447243
LB 1,114.03595,71.89944851,34.78416436,35.57718818
LB 2,102.2410275,120.5756058,35.16481299,35.5887836
LB 3,127.3925831,106.4527514,34.8109905,35.40934321
LB 4,104.4122193,149.0105371,35.2531173,35.6034691
LB 5,154.3088973,38.40460428,33.24600249,35.25499204
LB 6,134.4368028,67.16899442,34.2059557,35.20669127
LB 7,128.1816596,74.43423781,33.90782027,34.76885992
LB 8,118.504802,86.52464362,34.18525818,34.87006194
LI F1,105.8878962,22.33235311,31.7338927,34.1046213
LI F10,97.73126234,31.35535774,34.65198517,36.21043115
LI F11,114.4446603,17.32464884,118.8159695,122.1189127
LI F12,129.6336389,70.23758679,35.21866051,36.14148293
LI F13,124.4558678,23.43367628,33.33770382,35.99319556
LI F14,93.73245246,26.03801687,33.25070644,35.05062179
LI F15,147.1773983,22.67615979,30.01528807,33.26048919
LI F16,106.0095607,31.76841971,33.06443852,34.73291245
LI F17,116.2907065,41.45969294,34.49360242,35.89605741
LI F18,102.5534497,52.6484474,34.67431483,35.64826046
LI F19,104.0500949,37.83024082,34.41173474,35.78695854
LI F2,88.66527711,19.63194193,33.11277495,35.37096412
LI F20,94.30942558,46.12792038,35.0408706,36.06313028
LI F21,108.5253988,80.04064901,35.32935977,36.00729905
LI F22,113.8789526,90.13548443,35.01450778,35.64621766
LI F23,124.7516094,77.13231546,34.76977286,35.57845862
LI F24,105.9298221,91.25502407,34.8536256,35.43403102
LI F3,114.7836065,23.41326626,31.14672829,33.59797975
LI F4,96.61613482,22.71332534,32.35202773,34.47888792
