"","SampleName","Well","Reef","Site","Habitat","Pale","Group","Temperature","PAR","ETR","QY"
"1","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,59.15,14.2325,0.6
"2","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,179.76,40.3543,0.56
"3","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,300.37,62.6792,0.52
"4","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,420.98,80.8742,0.48
"5","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,541.59,94.8973,0.44
"6","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,662.2,105.5688,0.4
"7","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,782.81,113.7982,0.36
"8","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,903.42,119.057,0.33
"9","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1024.03,120.8166,0.29
"10","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1144.64,121.5531,0.27
"11","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1265.25,120.998,0.24
"12","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1385.86,118.6464,0.21
"13","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1506.47,117.2493,0.19
"14","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1627.08,112.0872,0.17
"15","LB 1",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1747.69,108.3418,0.15
"16","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,59.15,14.2095,0.6
"17","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,179.76,40.0622,0.56
"18","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,300.37,62.0912,0.52
"19","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,420.98,80.0904,0.48
"20","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,541.59,92.9269,0.43
"21","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,662.2,102.0842,0.39
"22","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,782.81,108.0904,0.35
"23","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,903.42,111.5076,0.31
"24","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1024.03,111.6076,0.27
"25","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1144.64,113.5375,0.25
"26","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1265.25,108.1087,0.21
"27","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1385.86,105.7024,0.19
"28","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1506.47,104.9583,0.17
"29","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1627.08,98.7155,0.15
"30","LB 1",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1747.69,95.787,0.14
"31","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,59.15,13.6576,0.58
"32","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,179.76,37.5007,0.52
"33","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,300.37,58.1621,0.48
"34","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,420.98,75.2394,0.45
"35","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,541.59,87.971,0.41
"36","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,662.2,97.47,0.37
"37","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,782.81,103.5938,0.33
"38","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,903.42,107.9594,0.3
"39","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1024.03,109.9104,0.27
"40","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1144.64,108.7033,0.24
"41","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1265.25,104.5153,0.21
"42","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1385.86,101.0273,0.18
"43","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1506.47,99.5715,0.17
"44","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1627.08,98.6736,0.15
"45","LB 1",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1747.69,91.6744,0.13
"46","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,59.15,12.702,0.54
"47","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,179.76,33.2912,0.46
"48","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,300.37,52.1098,0.43
"49","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,420.98,69.5518,0.41
"50","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,541.59,83.6367,0.39
"51","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,662.2,93.9078,0.35
"52","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,782.81,100.2282,0.32
"53","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,903.42,103.9709,0.29
"54","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1024.03,104.4825,0.26
