"","SampleName","Temperature","Reef","Site","Habitat","Pale","Group","Well","Pmax","alpha","ek","Iopt","qy_ek","AIC","outliersRemoved"
"1","BH 1",24.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",1,109.347958514062,0.241130280825122,453.480824307443,1142.71029215204,0.356287518787093,64.124913937565,3
"2","BH 1",29.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",2,120.66643834746,0.202904758394998,594.694965765943,1240.89530379169,0.333787128647509,84.6848567148235,1
"3","BH 1",31.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",3,108.696848446115,0.195631211866352,555.621198729641,1299.10099567632,0.30879605935911,84.3547081816577,1
"4","BH 1",34.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",4,112.713388668423,0.144226617739052,781.50198926771,1342.55150195816,0.270424799530109,71.7719822927454,2
"5","BH 1",35.75,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",5,62.8715433480752,0.16098413425884,390.544966667252,857.991804408994,0.241025993671048,72.707041508314,3
"6","BH 1",37,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",6,23.5506958792023,0.0991296386999896,237.574717189046,357.865387098968,0.155348355193826,102.694162598518,0
"7","BH 10",24.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",1,116.342744108498,0.20988868192536,554.306897548057,1299.51150907312,0.333650527196414,73.4375863174147,0
"8","BH 10",29.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",2,116.688694942982,0.191794500311042,608.404801773473,1236.92389665811,0.321548747071547,86.5769768210925,0
"9","BH 10",31.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",3,110.435562794042,0.208725493812627,529.094749169354,1129.27498151991,0.331728330835973,71.5789210779321,0
"10","BH 10",34.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",4,103.637388648393,0.152519437029962,679.502827092348,1252.97613017423,0.269081875003694,76.227775564053,0
"11","BH 10",35.75,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",5,40.6530196271978,0.145521239331988,279.361417026233,997.919875087737,0.202417560131806,101.395238230669,0
"12","BH 10",37,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",6,5.83429356237242,0.373885431880194,15.6044955617365,100.36497216442,1.29972274579842,74.5992672769469,0
"13","BH 11",24.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",1,73.0567390777916,0.255223702677982,286.245902364201,850.871894916782,0.343880633521313,28.8683784724142,3
"14","BH 11",29.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",2,101.022933711061,0.228354791197642,442.394631534689,1023.4578027601,0.341877755166757,65.6033269958199,0
"15","BH 11",31.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",3,103.149394173559,0.243928350276719,422.867592293163,1045.26542146398,0.356238734783017,62.2867699876961,0
"16","BH 11",34.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",4,105.991883218203,0.171608575143909,617.637452728221,1312.49567610271,0.28661423439663,68.1780982240902,0
"17","BH 11",35.75,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",5,56.9807583442845,0.188444222464624,302.374663436451,929.872167202629,0.255669553382059,70.7317617218905,2
"18","BH 11",37,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",6,12.9481224330647,0.16826463916317,76.950941668193,142.07242854158,0.307398576987029,78.9546295622075,0
"19","BH 12",24.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",1,125.654849109297,0.274323724600034,458.053160704576,1408.95117914053,0.385470174527039,82.7625572710178,4
"20","BH 12",29.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",2,116.089676420247,0.236227712807209,491.431234044038,1130.73446043199,0.366241293029285,75.6963913092798,0
"21","BH 12",31.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",3,124.702900427361,0.217583063349464,573.127790866118,1085.5336210414,0.363493373976729,84.4477061625755,0
"22","BH 12",34.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",4,114.624960784523,0.213149040557691,537.769067524834,1074.73223239129,0.344215697383047,51.6304849432346,1
"23","BH 12",35.75,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",5,48.3349986030932,0.146162712114218,330.69308788771,757.742060240556,0.224225075866195,105.427977367082,0
"24","BH 12",37,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",6,19.4225325782651,0.303865701352172,63.9181470361305,252.555755337181,0.494257646416171,82.817572957028,1
"25","BH 13",24.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",1,103.010602323597,0.288774223598288,356.716749299948,1297.21438610202,0.380168678195041,77.0155481360495,1
"26","BH 13",29.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",2,114.825239931972,0.239007558090413,480.425141570357,1295.44072366801,0.356134680138906,53.0253334769115,3
"27","BH 13",31.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",3,126.186963744315,0.22590804983681,558.576659111836,1326.14082808276,0.353190918082871,33.101518134418,4
"28","BH 13",34.5,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",4,118.116981257684,0.206036331655171,573.282295936859,1307.90024586703,0.327875027085493,60.1567059661168,1
"29","BH 13",35.75,"Tongue Reef","Blue Hole","Upper slope","FALSE","Tongue Blue Hole",5,75.4502736264126,0.139125942616378,542.316351699102,1088.86455314752,0.229253472882275,69.0172085471459,0
