"","SampleName","Group","S","k","I","AIC","RSS"
"1","BH 1","Tongue Blue Hole",14.4292563990069,0.344846056587314,0.350117831171307,-31.7139310040643,0.000468907002609608
"2","BH 11","Tongue Blue Hole",7.05407143126587,0.12710630610052,0.373508675309051,-19.6018509102025,0.00353011058188332
"3","BH 13","Tongue Blue Hole",13.2343395360817,0.310864884160618,0.382183544309935,-22.9692068997853,0.00201396053445942
"4","BH 14","Tongue Blue Hole",7.88538502894258,0.169580561589559,0.367343413882639,-22.8604895900208,0.00205078521215146
"5","BH 15","Tongue Blue Hole",22.2719056589088,0.565427697783735,0.359257779605852,-26.4363734620267,0.00113002765377989
"6","BH 16","Tongue Blue Hole",25.8398605494166,0.639810520603099,0.379738535825547,-30.8210080401604,0.000544150005412942
"7","BH 4","Tongue Blue Hole",14.2815125352976,0.332744986252835,0.343080387617554,-28.0331523078929,0.000865984990247194
"8","BH 6","Tongue Blue Hole",7.36083942140359,0.151502419172799,0.396436360367997,-27.3531368170715,0.000969910201337287
"9","BH 7","Tongue Blue Hole",11.7138036858546,0.272098932189615,0.318470019963655,-30.996911704644,0.000528428589341515
"10","BH 8","Tongue Blue Hole",32.8819584100338,0.845432736729161,0.327561786737379,-23.282060783519,0.00191163879980598
"11","BH 9","Tongue Blue Hole",18.0709893368214,0.445598585195651,0.347308584649622,-30.1958524351094,0.000603905395035744
"12","LB 1","Opal Long Bommie",13.5398437353145,0.320157040048212,0.36922179846367,-28.7427784216025,0.000769388895225588
"13","LB 2","Opal Long Bommie",7.78164242062574,0.164695563160067,0.411905129898341,-13.2743889256766,0.0101341022235352
"14","LB 3","Opal Long Bommie",10.4864207926025,0.239151876836334,0.396149032912101,-11.762885491586,0.0130374167281406
"15","LB 5","Opal Long Bommie",19.5581886957082,0.477841218079852,0.352499256067641,-21.1479748354116,0.00272819952207949
"16","LI F10","Low Isles flat",23.2482921805223,0.590530020376313,0.296354028964832,-23.8686117035969,0.00173360386008663
"17","LI F11","Low Isles flat",76.5622633674576,2.05000153193485,0.30853042701259,-27.7856771577307,0.000902450133097201
"18","LI F12","Low Isles flat",40.759542399598,1.07673945601423,0.331174945368912,-25.4654048505408,0.00132852619893326
"19","LI F13","Low Isles flat",10.3321501734826,0.234287172564274,0.307205350668199,-17.2824152398958,0.0051960660398989
"20","LI F14","Low Isles flat",72.2958850383619,1.9284197780126,0.219986082949021,-23.2943847259979,0.00190771634176243
"21","LI F21","Low Isles flat",25.0551557252455,0.643156263061589,0.32307957001653,-31.1700964852418,0.00051339398203182
"22","LI F5","Low Isles flat",7.57164701378367,0.157512077017531,0.35018649878442,-17.3664083731666,0.00512383382576514
"23","LI F7","Low Isles flat",5.97237054708644,0.114726294712046,0.379576732103272,-26.0362073286091,0.00120796419644146
"24","LI F9","Low Isles flat",9.1128596867171,0.189409903767887,0.359575506452419,-36.111640489801,0.000225304513189758
"25","LI S1","Low Isles slope",9.53106887989379,0.216589892310982,0.353731428733127,-36.0257975928962,0.000228551148205143
"26","LI S12","Low Isles slope",1.45546261149136,0.0269270490561496,0.830281419285148,-20.7412417998989,0.00291955356283411
"27","LI S16","Low Isles slope pale",26.0307997061389,0.669990825995726,0.283859666089141,-25.1101581721561,0.00140956054618888
"28","LI S17","Low Isles slope pale",28.0339332830847,0.718189537159423,0.224285828524802,-19.1031648583393,0.00383605133263326
"29","LI S19","Low Isles slope pale",23.7915829411354,0.611645750769249,0.296948532885746,-36.8886996914163,0.000197935854733462
"30","LI S2","Low Isles slope",16.3336334512074,0.405003369161152,0.33175666119172,-32.3575726515456,0.000421209718009964
"31","LI S22","Low Isles slope",19.6273933101353,0.495083396943138,0.373430611903292,-23.9916106867833,0.00169842706579925
"32","LI S23","Low Isles slope",18.2236469880522,0.448973210616246,0.367530805316578,-20.771935072845,0.00290465658932908
"33","LI S25","Low Isles slope",21.7762304778265,0.556016822200099,0.307214074769164,-18.6394760487709,0.0041442631608446
"34","LI S27","Low Isles slope",20.5960248640686,0.528372859224531,0.343583164385186,-21.2461505313411,0.00268392227463593
"35","LI S3","Low Isles slope",16.7507474705531,0.425580912907056,0.329243100908733,-33.7795708800187,0.000332330896060385
"36","LI S4","Low Isles slope",13.5553747147424,0.319305636560332,0.35759392906108,-32.8616818761791,0.000387266330208036
"37","LI S5","Low Isles slope",11.7839254372434,0.276805404677316,0.339038286181479,-20.1904474115696,0.00320025271419239
"38","LI S7","Low Isles slope",3.12442332786112,0.0521143283595609,0.505658350985585,-20.2262154741606,0.00318123165948082
"39","LI S8","Low Isles slope",13.7434780098087,0.334933135527111,0.325795957742144,-26.8756192197212,0.00105025656140132
"40","M1","Low Isles woody flat",34.7154644600987,0.895714465626272,0.290310088632331,-32.3608533423118,0.000420979471157675
"41","MO F1","Opal Mojo crest",22.7621979927551,0.578886690414834,0.355701542044169,-30.4261203520064,0.000581167823964954
"42","MO F2","Opal Mojo crest",32.962527959611,0.844500698522398,0.351430464019122,-42.236859267323,8.11730327401562e-05
"43","MO F3","Opal Mojo crest",19.1658326889644,0.470008675553857,0.36612576498081,-29.3917885834399,0.000690508440742226
"44","MO S1","Opal Mojo slope",71.9845205341331,1.90576100477311,0.374004930283499,-25.1342314592293,0.00140391641720927
"45","MO S12","Opal Mojo slope",16.4183600971275,0.388523173392983,0.400106923714778,-33.8763349690068,0.000327014266792979
"46","MO S13","Opal Mojo slope",11.1526314506946,0.262620145180167,0.42702904004084,-12.8297814278704,0.0109135751814556
"47","MO S15","Opal Mojo slope",27.0634922951443,0.672992190549244,0.389466795065891,-40.6565587679926,0.000105632543349176
"48","MO S16","Opal Mojo slope",55.8843011335472,1.4839618589905,0.386403611444765,-31.4560799085184,0.000489497640971067
"49","MO S17","Opal Mojo slope",6.15563186731811,0.125676434112171,0.450721705589172,-12.1938337988857,0.0121338457268753
"50","MO S22","Opal Mojo slope",9.01891160486768,0.1963069658086,0.394947785038648,-11.3534049906725,0.0139582423515146
"51","MO S24","Opal Mojo slope",9.99363163926895,0.198495211085347,0.380353973515916,-43.8174730626839,6.23739331635897e-05
"52","MO S25","Opal Mojo slope",18.8166034712927,0.450718280942902,0.379041101539937,-30.0188426942593,0.000621986991421065
"53","MO S30","Opal Mojo slope",38.4740076251989,1.00083510335828,0.360888257454768,-29.2162603144483,0.000711007450303512
"54","MO S31","Opal Mojo slope",19.4575299591497,0.471829338275712,0.359691754085606,-31.190638229603,0.000511639319409058
"55","MO S32","Opal Mojo slope",5.83032495515997,0.0967998625154198,0.391708128716084,-14.5056626539471,0.00825396677617016
"56","MO S33","Opal Mojo slope",25.3454221636381,0.630149630874332,0.400576040524879,-32.3409922279695,0.000422375300345454
"57","MO S35","Opal Mojo slope",6.84559510046375,0.117625619856745,0.412405649028302,-34.2716770151566,0.000306161719748238
"58","MO S37","Opal Mojo slope",17.4992135831528,0.411621523716565,0.355486874796786,-31.122135464772,0.000517514244304937
"59","MO S39","Opal Mojo slope",35.789424663177,0.919164661126895,0.348749356623834,-26.6150938223861,0.00109686419627072
"60","MO S40","Opal Mojo slope",34.3360226728455,0.886861458040718,0.354857968289256,-24.6700019391343,0.00151685233974515
"61","RB F1","Opal Rayban flat",8.01908142704293,0.142582470680929,0.370501549846903,-32.6683909571985,0.000399945305396482
