"","SampleName","Reef","Site","Habitat","Pale","Group","Well","Temperature","T1_Fm","T2_PAR1","T2_PAR2","T2_PAR3","T2_PAR4","T2_PAR5","T2_PAR6","T2_PAR7","T2_PAR8","T2_PAR9","T2_PAR10","T2_PAR11","T2_PAR12","T2_PAR13","T2_PAR14","T2_PAR15","T2_ETR1","T2_ETR2","T2_ETR3","T2_ETR4","T2_ETR5","T2_ETR6","T2_ETR7","T2_ETR8","T2_ETR9","T2_ETR10","T2_ETR11","T2_ETR12","T2_ETR13","T2_ETR14","T2_ETR15","T2_QY_Lss1","T2_QY_Lss2","T2_QY_Lss3","T2_QY_Lss4","T2_QY_Lss5","T2_QY_Lss6","T2_QY_Lss7","T2_QY_Lss8","T2_QY_Lss9","T2_QY_Lss10","T2_QY_Lss11","T2_QY_Lss12","T2_QY_Lss13","T2_QY_Lss14","T2_QY_Lss15","T2_NPQ_Lss1","T2_NPQ_Lss2","T2_NPQ_Lss3","T2_NPQ_Lss4","T2_NPQ_Lss5","T2_NPQ_Lss6","T2_NPQ_Lss7","T2_NPQ_Lss8","T2_NPQ_Lss9","T2_NPQ_Lss10","T2_NPQ_Lss11","T2_NPQ_Lss12","T2_NPQ_Lss13","T2_NPQ_Lss14","T2_NPQ_Lss15","T3_Fv/Fm_Lss1","T3_Fm","T3_QY_max"
"1","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,8525.2,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.2325,40.3543,62.6792,80.8742,94.8973,105.5688,113.7982,119.057,120.8166,121.5531,120.998,118.6464,117.2493,112.0872,108.3418,0.6,0.56,0.52,0.48,0.44,0.4,0.36,0.33,0.29,0.27,0.24,0.21,0.19,0.17,0.15,0.01,0.03,0.05,0.08,0.12,0.21,0.31,0.44,0.59,0.74,0.91,1.08,1.24,1.4,1.57,0.6,6580.25,0.6
"2","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,9166.9,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.2095,40.0622,62.0912,80.0904,92.9269,102.0842,108.0904,111.5076,111.6076,113.5375,108.1087,105.7024,104.9583,98.7155,95.787,0.6,0.56,0.52,0.48,0.43,0.39,0.35,0.31,0.27,0.25,0.21,0.19,0.17,0.15,0.14,0.01,0.04,0.05,0.08,0.15,0.26,0.4,0.57,0.75,0.92,1.11,1.28,1.44,1.59,1.72,0.6,7031.14,0.61
"3","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,8193.58,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.6576,37.5007,58.1621,75.2394,87.971,97.47,103.5938,107.9594,109.9104,108.7033,104.5153,101.0273,99.5715,98.6736,91.6744,0.58,0.52,0.48,0.45,0.41,0.37,0.33,0.3,0.27,0.24,0.21,0.18,0.17,0.15,0.13,0.01,0.05,0.09,0.13,0.23,0.36,0.53,0.69,0.88,1.06,1.25,1.43,1.58,1.71,1.87,0.58,6303.09,0.59
"4","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,8610.46,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,12.702,33.2912,52.1098,69.5518,83.6367,93.9078,100.2282,103.9709,104.4825,104.5415,102.0469,100.519,98.8387,92.3494,85.7912,0.54,0.46,0.43,0.41,0.39,0.35,0.32,0.29,0.26,0.23,0.2,0.18,0.16,0.14,0.12,0.01,0.06,0.09,0.12,0.18,0.27,0.42,0.58,0.77,0.95,1.14,1.3,1.46,1.62,1.76,0.52,5709.78,0.53
"5","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",5,35.75,10156.5,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,10.6774,23.8762,34.1376,41.1855,44.748,45.2278,45.1748,42.8137,43.7823,41.1475,40.681,34.1322,38.5869,32.3916,27.5673,0.45,0.33,0.28,0.24,0.21,0.17,0.14,0.12,0.11,0.09,0.08,0.06,0.06,0.05,0.04,0.05,0.16,0.29,0.46,0.68,0.91,1.13,1.33,1.48,1.61,1.72,1.81,1.84,1.86,1.83,0.38,6540.38,0.38
"6","LB 1","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",6,37,8318.8,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,6.9088,8.5752,7.7176,6.6136,6.6251,4.302,3.0837,2.1603,1.3154,-1.2085,0.1045,-1.2354,3.2755,-0.1707,1.4444,0.29,0.12,0.06,0.04,0.03,0.02,0.01,0.01,0,0,0,0,0.01,0,0,-0.03,-0.02,-0.01,0,0.02,0.06,0.1,0.14,0.19,0.26,0.31,0.38,0.44,0.52,0.59,0.15,4760,0.15
"7","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",1,24.5,8216.83,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.9503,41.6354,61.0238,73.7889,83.3915,90.3931,95.5547,98.6725,100.9583,101.1766,98.168,99.797,97.9196,97.2245,95.8899,0.63,0.58,0.51,0.44,0.38,0.34,0.31,0.27,0.25,0.22,0.19,0.18,0.16,0.15,0.14,0.02,0.05,0.07,0.12,0.17,0.24,0.3,0.37,0.44,0.52,0.61,0.69,0.8,0.9,1.01,0.61,6125.09,0.62
"8","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",2,29.5,6822.93,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.5133,39.6045,58.8361,73.1612,82.4928,89.7368,95.7197,97.1733,97.5214,96.4812,97.292,97.195,97.9028,95.9258,87.6361,0.61,0.55,0.49,0.43,0.38,0.34,0.31,0.27,0.24,0.21,0.19,0.18,0.16,0.15,0.13,0.03,0.07,0.1,0.13,0.18,0.23,0.27,0.33,0.4,0.47,0.54,0.61,0.7,0.79,0.89,0.6,4918.88,0.61
"9","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",3,31.5,7323.26,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.4823,39.6877,58.864,73.1141,83.2715,91.7536,97.2624,101.6537,103.8857,105.3106,104.4145,101.2468,102.2654,99.8823,91.7649,0.61,0.55,0.49,0.43,0.38,0.35,0.31,0.28,0.25,0.23,0.21,0.18,0.17,0.15,0.13,0.03,0.08,0.12,0.18,0.28,0.39,0.5,0.6,0.7,0.81,0.93,1.05,1.16,1.29,1.43,0.57,4562.35,0.58
"10","LB 2","Opal Reef","Long Bommie","Upper slope-crest",FALSE,"Opal Long Bommie",4,34.5,7440.25,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.8876,37.3432,56.5199,72.8316,85.2554,94.2739,101.593,105.4405,105.8007,106.5354,102.5869,97.7542,94.1128,89.808,86.0314,0.59,0.52,0.47,0.43,0.39,0.36,0.32,0.29,0.26,0.23,0.2,0.18,0.16,0.14,0.12,0.05,0.14,0.23,0.33,0.46,0.62,0.79,0.97,1.15,1.31,1.47,1.62,1.76,1.87,1.95,0.5,4503.92,0.51
